chembl_id,smiles,pIC50
CHEMBL4087646,ClCCN(P(=O)(OCCCCOc1cc2c(Nc3cc(Cl)c(F)cc3)ncnc2cc1)N)CCCl,8.2218485
CHEMBL110036,O(C)c1c(OC)cc2ncc(C#N)c(Nc3cc(N)ccc3)c2c1,6.0900002
CHEMBL4091166,Clc1cc(Nc2c3c([nH+]cc2)ccc(NC(=O)C2CCC4(OOC5(C6CC7CC5CC(C6)C7)CO4)CC2)c3)ccc1,6.7710867
CHEMBL415738,OCCNc1ncnc(Nc2cc(C)ccc2)c1,9
CHEMBL1641989,Brc1cc(Nc2ncc(C#N)c3c2cc(NC(=O)CCC[NH+](C)C)cc3)ccc1,5.3872161
CHEMBL450396,Clc1c(OCc2cc(F)ccc2)ccc(Nc2ncnc3c2sc(C#C[C@@H]2NC[C@H](OC(=O)N4CCOCC4)C2)c3)c1,7.3010302
CHEMBL4104717,Fc1c(N2C(=O)N([C@@H]3CN(C(=O)CC)CC3)c3nc(Nc4cc(C)c(N5CCC6(CC[NH+](C)CC6)CC5)cc4)ncc3C2)cc(OC)cc1,6.6487837
CHEMBL117697,O(C)c1cc(Nc2ncnc3c2cccc3)ccc1,6.074688
CHEMBL168921,O(C(C)(C)C)C(=O)N1CC(n2c3ncnc(N)c3c(-c3cc(O)ccc3)c2)CC1,5.6575775
CHEMBL2029436,O=C(Nc1cc(N2C(=O)N(c3ccccc3)Cc3c2nc(Nc2c(OC)cc(N4CC[NH+](C)CC4)cc2)nc3)ccc1)C=C,9.5228786
CHEMBL255865,O(/N=C/c1c(Nc2cc3c(n(Cc4cc(C#N)ccc4)nc3)cc2)ncnc1N)C,7.6989698
CHEMBL57170,Fc1c(OC)ccc(C=C(C#N)C#N)c1,3.09691
CHEMBL55979,O=C(NC(C)c1ccccc1)/C(/C#N)=C/c1cc(O)c([O-])cc1,6.3979402
CHEMBL1630117,Clc1c(OCc2cc(F)ccc2)ccc(Nc2ncnc3c2cc(-c2oc(C(=O)NO)cc2)cc3)c1,8.4089355
CHEMBL324045,Clc1c(F)ccc(Nc2c(C#N)cnc3c2cc(OCC)c(OCC)c3)c1,6.0099988
CHEMBL4062192,Fc1c(N2C(=O)N([C@@H]3CN(C(=O)CC)CC3)c3nc(Nc4cc(C)c(N5CCCCC5)cc4)ncc3C2)cc(OC)cc1,6.3306832
CHEMBL3671547,Brc1cc(F)c(Nc2ncnc3c2cc(NC(=O)CC)c(OCCNC(=O)C)c3)cc1,6.0624819
CHEMBL112096,O(C)c1c(OC)cc2ncc(C#N)c(Nc3c(C(C)C)cccc3)c2c1,6.4399977
CHEMBL330668,O(C)c1c(OC)cc2ncnc(Nc3nc4c(nc3)cccc4)c2c1,6.1079054
CHEMBL1203934,Fc1ccc(Nc2ncnc3c2cc(OC)c(OC)c3)cc1,7.2924299
CHEMBL425601,Clc1c(F)c(Nc2ncnc3c2cc(CN(C)C2(C(=O)N)CN(C(C)C)C2)c(OC)c3)ccc1,8.0457573
CHEMBL205870,Clc1c(OCc2cc(F)ccc2)ccc(Nc2c(C#C)cncn2)c1,7.070581
CHEMBL3085277,N([C@@H](C)c1ccccc1)c1ncnc2c1sc1c2cccc1,6.2692175
CHEMBL474343,O=C(NC=1c2c(Nc3ccc(Oc4ccccc4)cc3)ncnc2CC=1)C=C,8.2400303
CHEMBL45068,O=C(CCc1ccc(O)cc1)c1c(O)cc(O)cc1[O-],1.60206
CHEMBL3218347,Brc1cc(Nc2ncnc(Nc3cc(NC(=O)CC)ccc3)c2)ccc1,6.8664613
CHEMBL4064937,Clc1c(N2C(=O)N([C@@H]3CN(C(=O)C4CC4)CC3)c3nc(Nc4cc(C)c(N5CC[NH+](C)CC5)cc4)ncc3C2)cccc1,7.5421181
CHEMBL1242661,O(CC)c1cc2c(cc(-c3nn(C)c4ncnc(N)c34)cc2)cc1,4.6777806
CHEMBL111688,FC(F)(F)c1c(F)ccc(Nc2c(C#N)cnc3c2cc(OC)c(OC)c3)c1,6.7999983
CHEMBL480348,Clc1c(OCc2cc(F)ccc2)ccc(Nc2ncnc3sc(-c4[nH]c(C[NH2+]CC)cc4)cc23)c1,6.9172144
CHEMBL1170459,O=[N+]([O-])c1n(CCOC(=O)/C=C/c2cc3c(cc2)cccc3)c(C)nc1,5.2395773
CHEMBL77524,O=C([O-])/C(/C#N)=C/c1ccc(OC)cc1,3.079355
CHEMBL56201,O=C1N(C)c2c(C1=C(C#N)C#N)cc(O)cc2,4.5850267
CHEMBL3800262,O=C(Nc1cc(C(=O)C)ccc1)c1[nH]c2c(c1)cccc2,4.2441254
CHEMBL3671497,Brc1cc(F)c(Nc2ncnc3c2cc(NC(=O)C=C)c(OCCNC(=O)N)c3)cc1,8.3979397
CHEMBL3957416,S(=O)([O-])(=Nc1ccc(Nc2ncnc3c2cc(NC(=O)/C=C/CN2CCOCC2)c(OCC)c3)cc1)c1ccccc1,7.8538718
CHEMBL2408824,Clc1c(Oc2ccc(CCOc3c(S(=O)(=O)c4ccccc4)[n+]([O-])on3)cc2)nc(Nc2c(OC)cc(N3CC[NH+](C)CC3)cc2)nc1,5.5316525
CHEMBL345837,S(Sc1n(C)c2c(c1C(=O)Nc1cc(C(=O)[O-])ccc1)cccc2)c1n(C)c2c(c1C(=O)Nc1cc(C(=O)[O-])ccc1)cccc2,4.9208188
CHEMBL2437474,O(C)c1ccc(N2C(=O)C=Nc3c2nc(Nc2cc(N)ccc2)nc3)cc1,4.7380238
CHEMBL598611,O=C(NO)CCCCCCOc1c(OC)cc2c(Nc3cc(C#C)ccc3)ncnc2c1,8.0861864
CHEMBL35820,Brc1cc(Nc2ncnc3c2cc(OCC)c(OCC)c3)ccc1,11.221848
CHEMBL3416593,O(C)c1c(-c2sc3ncnc(N[C@@H](CO)c4ccccc4)c3c2)cccc1,6.2013493
CHEMBL378145,Brc1cc(Nc2ncnc3Oc4c(cc(Cl)cc4)CNc23)ccc1,5.4685211
CHEMBL1958220,Clc1ccc(C2N(C=3SCC(=O)N=3)N=C(c3ccc(OC)cc3)C2)cc1,5.271646
CHEMBL4111809,Fc1c(Nc2nc3n(C(C)C)c(Nc4cc(NC(=O)C)ccc4)nc3cn2)ccc(C(=O)N[N+]2=CCN(C)CC2)c1,7.6020598
CHEMBL36164,Brc1cc(Nc2ncnc3c2cc2c(C[NH+](CCO)CCO)c[nH]c2c3)ccc1,8.4600458
CHEMBL3908303,N([C@H](C)c1ccccc1)c1ncnc2oc(-c3ccccc3)cc12,7.9586072
CHEMBL3671530,Brc1cc(F)c(Nc2ncnc3c2cc(NC(=O)C=C)c(OCCNC(=O)C([NH+](C)C)C)c3)cc1,6.90309
CHEMBL511990,Clc1c(F)ccc(Nc2ncnc3nc(Nc4ccc(C[NH+]5[C@H](CO)CCC5)cc4)sc23)c1,7.9586072
CHEMBL4093114,Brc1cc(Nc2ncnc3c2cc(NC(=S)Nc2c(F)c(C(F)(F)F)ccc2)cc3)ccc1,6.9492335
CHEMBL2325101,Clc1c(Cl)ccc(C2=NN(c3ccccc3)C(c3cc4c(cc3)cccc4)C2)c1,7.3010302
CHEMBL53310,N(C)c1nc2c(Nc3ccccc3)ncnc2cn1,7.8800845
CHEMBL51028,Clc1c(c(Cl)ccc1)-c1c(NC(=O)NC2CCCCC2)nc2nc(NCCCN3CC[NH+](C)CC3)ncc2c1,6.0555172
CHEMBL1928954,Clc1c(OCc2cc(F)ccc2)ccc(Nc2ncnc(Oc3cc(NC(=O)/C=C/c4ccccc4)ccc3)c2)c1,5.7770233
CHEMBL2064388,O=C1N(CCC[NH+]2CCOCC2)c2c(O1)cc1ncnc(Nc3c(O)cccc3)c1c2,4.5228786
CHEMBL3943512,O=C(Nc1c(OC)cc2ncnc(Nc3ccc(Oc4ccccc4)cc3)c2c1)CC,7.1870866
CHEMBL354310,O=C(NCCO)C1CC(n2c3ncnc(N)c3c(-c3cc(OC)ccc3)c2)C1,6.4814858
CHEMBL3263364,O(C)c1ccc(C2=NN(C=3SCC(=O)N=3)C(c3c4c(ccc3)cccc4)C2)cc1,5.2572751
CHEMBL461114,Clc1c(OCc2ccccc2)ccc(Nc2c(C(=O)Nc3ccccc3)c(N)ncn2)c1,7.1191864
CHEMBL3671564,Brc1cc(F)c(Nc2ncnc3c2cc(NC(=O)C=C)c(OCCNC(=O)N2CC[NH2+]CC2)c3)cc1,6.1561446
CHEMBL424853,Clc1c(F)ccc(Nc2ncnc3Oc4c(cc(F)cc4)CNc23)c1,6
CHEMBL1241773,O=C(C)c1ccc(-c2nn(C(C)C)c3ncnc(N)c23)cc1,4.9208188
CHEMBL2325108,Clc1c(Cl)ccc(C2=NN(C(=S)N)C(c3c4c(ccc3)cccc4)C2)c1,6.6777806
CHEMBL257872,O(CC[NH+]1CCC(O)CC1)c1n[nH]c2ncnc(Nc3cc(C)c(Oc4cnc(C)cc4)cc3)c12,6.6655464
CHEMBL325589,Clc1c(c(Cl)ccc1)C=1C(=O)N(C)c2nc(Nc3cnccc3)ncc2C=1,6.2924299
CHEMBL2048789,Clc1c(Oc2cc3C(=O)NCc3cc2)ccc(Nc2ncnc3c2n(CCO)cc3)c1,8.1079054
CHEMBL329672,Clc1cc(Nc2ncnc3c2cccc3)ccc1,7.6382723
CHEMBL3671493,Brc1cc(F)c(Nc2ncnc3c2cc(NC(=O)C=C)c(OCCCCNC(=O)C)c3)cc1,8
CHEMBL1241683,Clc1nc2c(cc(-c3nn(C(C)C)c4ncnc(N)c34)cc2)cc1,4
